id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_life_orientation_terminology_term_list_57,assessment standard,assesseringstandaard,izinga lokuhlola / izinga lesivivinyo,umgangatho wokuhlola,licophelo lekuhlola,izinga lokuhlola,maemotlhatlhobo,maemo a tekolo / maemo a kelo,maemo a tekanyetso,maimo a ṱhaṱhuvho,mpimo wa mahlelelo / swipimo swa makambelelo,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_58,asthma,asma,ubefu / isifuba somoya,isifuba / umbefu,sifuba,isifuba,bolwetsekhupelo,asema / bolwetši bja mafahla,letshweya / asma,phihamela / asima,asma,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_59,astronomer,sterrekundige,umcwaningimkhathi,usozinkwenkwezi,somkhatsi,usonkwekwezi,moithutafaufau,monepanaledi,astronoma,muḓivhazwiedza / muastronomi / mugudazwiedza,mutivatinyeleti,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_60,athlete,atleet,umdlali,umkhuphisani kwezemidlalo / iathlethi,umdlali,umdlali wama-atletiki,moatlelete / motabogi,moatlelete,atlelete,mutambi,n'wamatsambu / xitsutsumi,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_61,athletics,atletiek,imidlalomqhudelwano,ukhuphiswano kwezemidlalo / iiathlethikhi,umdlalo wema-atletiki,umdlalo wama-atletiki,diatleletiki,diatleletiki,diatleletike,zwipotso / mitambo,swipotso,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_62,atonement,boetedoening / versoening,ukuhlawulelwa,ucamagushelo / intlawulelo,kubuyisana,ihlawulelo / ibuyelano,poelano / tlolagano,poelanyo,poelano,vhupfumedzanyi,ndzivalelo,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_63,attitude,houding / gesindheid,umqondosimo,isimo-ngqondo,simongcondvo,ukuziphatha,mokgwa,maitshwaro,boitshwaro,vhuḓifari,matikhomelo,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_64,attraction,aantreklikheid / aantrekkingskrag,uheho,umtsalane / umbizelane / umbizane,kudvonsa / kukhanga / kuheha,isiganukeji / isilangazelelisi,kgogedi,kgoketšo,kgohedi,vhukungi,vukokamahlo / vukokarinoko,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_65,attractive,aantreklik,okuhehayo / okukhangayo,-nomtsalane / -nombizelane / -nombizane,-khangako / -hehako / -dvonsako,-langazelelisako / -karisako / -ganukejako,bogega / kgatlhisa,kgahlišago / bogegago,-hohelang,-kungaho,-koka mahlo / -koka rinoko,,,,,,,,,,,,,,,,,,,,,,
dsac_life_orientation_terminology_term_list_66,autograph,handtekening / outograaf,umcikico kasaziwayo,utyikityo lonendumasi / iothografu,lusayinosikhumbuto / i-othografu,umtlikitlo womuntu odumileko / i-othografi,tshaenomotumi / othokerafo,othokrafo,othokrafo,othogirafu / tsaino nga muḓivhalea,othogirafu,,,,,,,,,,,,,,,,,,,,,,
